scope,model,subjects,mae,rmse,spearman,pearson
fold_1,plain_dtw,16,5.906691743048883,7.293191684590397,0.30757918555099845,0.3778700498832225
fold_1,training_median_constant,16,6.833333333333333,8.233569497287714,,
fold_1,training_mean_constant,16,6.541666666666666,7.710963888470669,,
fold_2,plain_dtw,15,7.495941962870643,9.308648007542223,0.19158529259725088,0.42197796388717285
fold_2,training_median_constant,15,7.28888888888889,10.21763181955584,,
fold_2,training_mean_constant,15,7.900662805528991,10.278501334405622,,
fold_3,plain_dtw,15,5.624726766730991,7.050805911240893,0.08042898653967125,0.18846581740163162
fold_3,training_median_constant,15,5.753648017309772,6.863273249984879,,
fold_3,training_mean_constant,15,5.800587601415212,6.922823297203413,,
fold_4,plain_dtw,15,10.069851944495134,12.899387780069638,-0.017905167532453355,0.013622100312353752
fold_4,training_median_constant,15,9.56590190217287,13.102440207030732,,
fold_4,training_mean_constant,15,10.058356569736967,12.904686575460271,,
fold_5,plain_dtw,15,5.881791490707884,6.690361801244012,0.6857142857142856,0.6717475500411498
fold_5,training_median_constant,15,7.299647419082165,9.318410869714315,,
fold_5,training_mean_constant,15,7.0091629941726135,8.705487702450412,,
overall,plain_dtw,76,6.981470399484894,8.932384448445989,0.3012599284801202,0.3452009236983312
overall,training_median_constant,76,7.341508246646562,9.756802802175097,,
overall,training_mean_constant,76,7.449976529335174,9.52122717304788,,
